,pitch,instrument_family,instrument_source,NaiveFFT,ZeroX,PersistFFT1,PersistFFT2,PSHC,fft_mean,max_fft_amp,freq_at_max_fft_amp,peak_0_freq,peak_0_persistence,peak_1_freq,peak_1_persistence,peak_2_freq,peak_2_persistence,peak_3_freq,peak_3_persistence,peak_4_freq,peak_4_persistence,peak_5_freq,peak_5_persistence,peak_6_freq,peak_6_persistence,peak_7_freq,peak_7_persistence,peak_8_freq,peak_8_persistence,peak_9_freq,peak_9_persistence,peak_10_freq,peak_10_persistence,peak_11_freq,peak_11_persistence,peak_12_freq,peak_12_persistence,peak_13_freq,peak_13_persistence,peak_14_freq,peak_14_persistence,peak_15_freq,peak_15_persistence,peak_16_freq,peak_16_persistence,peak_17_freq,peak_17_persistence,peak_18_freq,peak_18_persistence,peak_19_freq,peak_19_persistence,peak_20_freq,peak_20_persistence,peak_21_freq,peak_21_persistence,peak_22_freq,peak_22_persistence,peak_23_freq,peak_23_persistence,peak_24_freq,peak_24_persistence,peak_25_freq,peak_25_persistence,peak_26_freq,peak_26_persistence,peak_27_freq,peak_27_persistence,peak_28_freq,peak_28_persistence,peak_29_freq,peak_29_persistence,peak_30_freq,peak_30_persistence,peak_31_freq,peak_31_persistence,peak_32_freq,peak_32_persistence,peak_33_freq,peak_33_persistence,peak_34_freq,peak_34_persistence,peak_35_freq,peak_35_persistence,peak_36_freq,peak_36_persistence,peak_37_freq,peak_37_persistence,peak_38_freq,peak_38_persistence,peak_39_freq,peak_39_persistence,peak_40_freq,peak_40_persistence,peak_41_freq,peak_41_persistence,peak_42_freq,peak_42_persistence,peak_43_freq,peak_43_persistence,peak_44_freq,peak_44_persistence,peak_45_freq,peak_45_persistence,peak_46_freq,peak_46_persistence,peak_47_freq,peak_47_persistence,peak_48_freq,peak_48_persistence,peak_49_freq,peak_49_persistence
bass_synthetic_033-041-075,41.0,0.0,2.0,41.0,37.0,41.0,41.0,41.0,63532.234375,90131720.0,87.25,82.75,36023.79999999993,83.5,712052.7999999999,86.5,1133538.7999999998,87.25,89230402.8,91.5,2430215.3,170.5,2601583.55,174.5,45188898.8,182.75,157841.67499999993,258.0,2075079.5499999998,261.75,23283134.8,265.5,549693.7999999999,345.25,976516.6749999999,349.0,9123381.8,353.0,621069.4249999999,432.5,635253.2999999999,436.5,3042058.05,440.25,686923.1749999999,523.75,596605.9249999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
keyboard_electronic_001-063-075,63.0,4.0,1.0,75.0,69.0,63.0,63.0,63.0,49701.7890625,36106784.0,622.75,83.5,33237.534999999974,84.5,34262.941249999974,88.0,58903.441249999974,89.0,2498.4099999999744,93.25,157393.15999999997,95.5,10300.503749999974,145.75,2652.4724999999744,147.0,70893.65999999997,148.0,126961.75374999997,149.0,167266.40999999997,150.25,182107.15999999997,151.25,174350.53499999997,152.25,146361.56624999997,153.25,83582.15999999997,154.25,15286.253749999974,311.0,21176514.16,325.25,27093.003749999974,371.25,439634.5975,622.75,35745716.16,623.25,3671774.16,935.0,7035450.66,1248.75,2251791.91,1563.5,1059291.41,1564.5,789385.1599999999,1565.25,4017612.16,1881.75,312284.535,1882.25,1335515.785,2201.75,562493.0974999999,2202.75,804926.9099999999,2524.25,214987.40999999997,2525.5,300789.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
keyboard_electronic_098-023-050,23.0,4.0,1.0,35.0,45.0,23.0,23.0,23.0,108463.765625,361954784.0,61.5,30.75,36457220.16,53.75,497111.41000000015,54.75,1274193.1600000001,55.75,2343061.16,56.75,110641.16000000015,57.75,1753748.1600000001,58.75,4595971.66,59.75,10165380.16,60.75,18945758.16,61.5,358335236.16,62.75,21060788.16,63.75,11273945.16,64.75,9543742.16,65.75,6054418.16,66.75,3919774.16,67.75,2522110.16,68.75,1519718.6600000001,69.75,758083.1600000001,70.75,271229.41000000015,88.5,79414.66000000015,89.5,1065073.1600000001,90.5,3115345.66,91.5,3046515.66,92.5,99218276.16,93.25,2507561.16,94.25,2757764.66,95.25,408578.66000000015,120.0,47631.16000000015,121.0,1768731.6600000001,123.25,98299428.16,125.75,760531.1600000001,151.75,230466.66000000015,154.0,72917092.16,155.5,1348075.6600000001,184.75,11126336.16,196.25,166247.91000000015,215.5,22758584.16,257.75,2429026.66,277.25,3196416.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bass_synthetic_068-084-050,84.0,0.0,2.0,84.0,78.0,84.0,84.0,84.0,84199.1875,35602396.0,1046.5,1046.5,35246372.04,2102.25,836958.915,3172.0,1693406.165,5352.25,113566.57124999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mallet_acoustic_062-066-050,66.0,5.0,0.0,66.0,61.0,66.0,66.0,66.0,51496.63671875,17135852.0,370.25,31.5,379879.73,370.25,16964493.48,393.0,11786129.48,487.25,5067907.98,561.5,1604908.48,740.25,10830102.48,772.75,311259.26125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
guitar_electronic_028-086-100,86.0,3.0,1.0,86.0,83.0,86.0,86.0,86.0,75061.34375,75405776.0,1174.75,1154.75,9474.36499999999,1174.75,74651718.24,1194.25,7851.239999999991,2350.25,6418537.74,3527.5,11671015.24,4706.75,1776200.49,5888.25,2008995.99,7071.75,200758.9275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flute_synthetic_000-053-025,53.0,2.0,2.0,53.0,51.0,40.0,41.0,41.0,78837.6484375,109892296.0,174.5,79.0,2096566.04,83.75,719941.54,84.5,12416703.04,87.25,38345473.04,88.25,691737.04,89.0,1329269.04,90.25,16258977.04,93.25,1890094.54,167.25,480260.41500000004,168.5,892986.165,169.25,1743925.29,170.25,2790295.04,171.25,2793160.04,172.25,4827958.54,173.25,9519321.04,174.5,108793373.04,176.0,4291760.04,177.0,2834325.04,178.0,1703138.79,179.0,1217373.54,180.0,1574612.04,181.0,1161655.79,182.0,513318.54000000004,522.0,644597.79,523.25,11976825.04,524.5,9450185.04,872.0,4204264.04,874.25,2085083.29,1214.5,306867.41500000004,1216.5,345090.04000000004,1217.25,310999.66500000004,1218.25,964044.415,1219.0,1310335.54,1219.5,359728.29000000004,1220.75,2904508.54,1221.75,1074296.54,1222.5,1893689.04,1223.5,2701611.54,1224.75,398391.16500000004,1227.75,546941.415,1229.0,377739.41500000004,1566.75,756551.415,1568.5,1529212.29,1569.25,1506603.54,1571.0,1297360.54,1571.75,597792.79,1572.25,527726.165,1573.0,1476389.04,1574.75,831017.54,1576.5,403456.79000000004
guitar_acoustic_015-068-127,68.0,3.0,0.0,68.0,69.0,68.0,68.0,68.0,108711.265625,29537528.0,415.25,140.25,73888.87624999997,253.75,12920.032499999972,415.25,29242152.72,712.75,64151.53249999997,780.0,142760.56374999997,833.0,11985268.72,1254.5,2432244.2199999997,1294.75,2596.188749999972,1295.75,7525.969999999972,1314.0,210972.28249999997,1539.75,299095.22,1680.0,3268296.4699999997,1701.25,151044.15749999997,1723.5,53479.68874999997,2071.75,42230.31374999997,2109.75,1344658.72,2157.75,46101.59499999997,2340.5,124291.78249999997,2510.5,14473.313749999972,2540.0,45876.15749999997,2561.5,36185.09499999997,2964.75,288775.6575,3217.5,125424.40749999997,3379.0,116593.34499999997,3410.25,107555.59499999997,3439.5,77027.12624999997,4252.5,235856.28249999997,4281.5,305986.5325,5062.75,113265.84499999997,5096.0,216004.53249999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
organ_electronic_057-056-127,56.0,6.0,1.0,56.0,61.0,56.0,56.0,56.0,105153.328125,248772432.0,207.5,200.25,2426080.18,202.25,2405029.18,203.0,3976446.68,204.0,3690836.68,205.25,9227146.68,206.25,18265779.68,206.75,68819275.68,207.5,246284707.68,208.0,44483295.68,209.0,5166797.68,210.0,4348710.18,211.0,6170923.68,212.0,5223648.18,213.25,2682290.68,213.75,7689256.68,214.5,40416307.68,215.0,14411553.68,221.5,5637572.18,222.0,1942184.6800000002,407.5,8209388.68,409.0,8440474.68,410.25,2328983.18,413.25,7986215.68,414.5,87921523.68,415.75,79801619.68,417.0,5301816.68,420.25,2234423.18,421.5,20210081.68,422.75,15725305.68,428.5,4326819.68,429.75,5000246.18,615.25,3475853.18,620.25,4236438.18,621.5,2948222.68,622.25,22049725.68,623.0,11876319.68,624.75,2121058.18,629.25,4974831.68,630.0,3524329.18,3313.25,2796249.68,3314.0,2792712.68,3316.5,2394052.18,3317.25,3697060.18,3318.75,3312167.18,3319.5,4809232.68,3322.75,4568782.18,3325.75,2734641.18,3328.25,3739955.68,3329.25,2260562.68,3329.75,3470395.18
organ_electronic_113-081-127,81.0,6.0,1.0,93.0,92.0,81.0,81.0,81.0,112670.5390625,135831376.0,1760.75,853.25,2534764.49,855.75,9626492.24,861.75,11496527.24,874.0,9637735.24,879.25,1952310.49,880.25,46908126.24,886.25,11076301.24,898.5,12254931.24,904.5,7157546.24,1712.0,3103539.24,1718.0,15504784.24,1724.0,1857941.74,1729.0,1939364.24,1730.25,53249870.24,1730.75,4037613.24,1732.75,1919645.24,1733.75,3042262.24,1734.5,4300626.24,1735.75,3877898.24,1736.25,117606502.24,1737.5,3873845.24,1740.75,3534657.24,1742.5,37387450.24,1748.5,2027972.49,1752.75,2068596.74,1754.5,32487194.24,1755.75,1868531.24,1758.25,2130109.24,1759.5,2863267.74,1760.75,134473062.24,1761.25,10440716.24,1762.25,7084168.24,1763.75,2618332.24,1765.75,2275107.99,1766.75,45364350.24,1770.0,2042401.74,1773.0,2399139.49,1779.0,41764506.24,1783.25,4402431.24,1784.25,3113940.24,1785.0,102051230.24,1786.0,5121526.24,1788.25,8842713.24,1789.0,2521393.74,1790.0,2619163.24,1791.25,49257618.24,1792.75,2424298.49,1803.5,14389649.24,1809.5,4047599.74,1812.5,2925687.74
organ_electronic_001-060-127,60.0,6.0,1.0,60.0,58.0,60.0,60.0,60.0,96529.1796875,315870400.0,261.75,251.5,393229.25,252.5,1113526.0,253.5,1691638.5,254.5,1351688.5,255.5,3145328.5,256.5,4486240.5,257.5,840527.5,258.5,3787924.5,259.5,13994742.0,261.0,121213112.0,261.75,312711696.0,262.25,179822800.0,263.25,3341031.0,264.5,3894115.0,265.25,7873298.0,266.25,3368586.5,267.5,2628932.5,268.25,1766970.5,269.25,1125977.0,270.25,539584.5,271.5,538967.25,272.25,104924.0,521.25,4103330.0,522.0,8625637.0,522.75,40753432.0,523.25,31988136.0,524.0,75067296.0,525.25,11186619.0,525.75,4054681.5,782.0,7835259.0,783.0,838976.25,783.5,2598793.0,784.5,32997700.0,785.25,12700128.0,786.75,6657252.0,787.5,804279.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
